seller_id,num_of_linked_acct,sum_GMV
1022163208,1,17.93
1212529021,1,605.00
1649682578,1,1508.35
1002770484,1,14.99
201475297,1,31.75
1047129587,1,1589.85
1133789135,1,0.99
6287284,1,39.98
3359755,1,1.00
1392719582,1,106.61
1904886080,1,39.95
12345941,1,1.00
6215366,1,11.98
935808573,1,1.00
1943762017,1,13.99
1521653038,1,60.00
1017835523,1,9.90
1499940001,1,5.99
49464703,1,37.63
1389929415,1,2.18
760933159,2,141.48
1628989948,1,3.00
766072155,1,25.06
700949403,4,993.79
1911804472,1,141.09
1157551273,1,199.00
97599887,1,9.99
1152242246,1,5.99
356106375,1,11.99
1475835657,1,21.46
1591315313,1,0.99
13428027,1,49.00
289493786,1,0.99
1674808216,1,31.00
1923427838,1,15.23
745379391,1,2.99
92094981,1,0.99
1271365215,1,10.97
84155077,1,25.00
163556981,1,4.49
1056320267,2,3.96
769421472,1,2.99
31548433,1,0.99
1467893813,1,111.97
1815208166,3,28.64
1397606879,1,18.00
1147669488,1,7.67
1868426838,1,11.18
1299689187,1,7.53
1381804260,1,3512.56
232505801,1,16.00
650996282,1,1.11
1464242754,1,41.80
868369948,2,4260.38
30734292,1,49.00
635144370,3,470.88
1537726680,1,4.99
180341360,1,1.00
718423298,1,6.49
1376329880,1,1.11
23504245,1,15.56
108749470,2,15.84
1613551413,1,200.00
162456682,1,349.00
37467147,1,9.99
9711151,1,1.00
697869526,1,17.99
38994734,1,174.00
1255004116,1,1.98
1117768942,2,1876.70
306471893,1,2.00
103223916,1,1.00
1395871038,1,4.89
392936036,1,18.00
1220136958,1,15.11
30960887,2,23.65
2017726092,2,8.92
485601089,1,10.00
1824470122,1,13.50
439641081,1,3.60
126339296,1,1.08
1307190914,2,99.90
1277054851,1,83.61
1899247573,1,39.90
1461141892,1,39.97
1688258862,1,3.00
102847240,1,7.85
1892724113,2,32.27
1098088899,1,12.80
1771646636,1,77.00
19474595,1,8.02
568516983,1,5.00
1766449583,1,127.71
200655727,1,43.90
1744626881,1,2.21
1784837473,1,31.08
71536100,1,2.97
1127864561,1,1.00
60610650,1,1.99
1265861742,1,1.00
1126128326,2,15.06
1103467503,1,17.46
1497415497,1,44.19
1905790822,1,15.40
27011373,1,20.45
1781759590,1,93.85
34687125,1,0.99
1790931820,1,2.20
40016817,1,4.96
922543168,1,1.00
1479524065,1,3.62
10212404,1,0.99
280631175,1,5.49
182439400,1,4.83
1279159141,2,23.76
32231225,1,3.84
43411742,1,2.50
1006694540,1,0.99
61297530,1,3.99
1128187916,1,78.95
96568734,1,0.99
1838283909,1,195.99
116732742,1,0.99
579234188,1,5.49
1047673519,1,28.95
1462824342,1,1.90
1809750941,1,307.81
39247767,1,3.00
931765018,1,472.11
1226647084,1,37.99
21125074,1,3.87
1602897235,1,3.19
53681420,1,9.95
1628339960,2,502.77
279636200,1,15.71
794828821,1,4.00
1057360284,1,4.06
100020701,1,59.98
443413626,1,39.95
71417900,1,59.85
2017729632,1,14.55
1172024295,1,4000.00
1120117351,1,3.12
1070801697,1,2.14
50568924,1,29.95
40547502,1,1.64
38781074,1,29.00
1548487755,1,6.29
56841124,1,10.00
118296414,1,7.99
1014281961,1,24.78
739479267,1,80.75
1157773983,1,15.00
1412127246,1,44.27
1773105112,1,3.00
131023550,1,14.00
1407239509,1,281.11
1595839561,1,525.00
1277923274,1,39.99
1579168537,1,30.89
53494541,1,1.00
1450951547,1,1.11
18276476,1,6.99
521393336,2,293.64
129817930,1,44.58
1319748064,2,50.75
1186786999,1,42.94
1085251455,1,9.68
1196816348,1,24.56
1167035137,3,39.49
149329332,1,14.99
1928088041,1,12.10
1075203204,1,0.99
1160711146,1,98.00
1698929912,1,25.70
1116182992,1,235.10
820009048,1,130.96
1692312630,1,4.36
1676817055,1,57.83
1691561184,1,4.86
16931487,1,20.98
985101367,1,3.97
1021431703,2,416.25
1339683910,1,0.99
1908338244,1,5.12
74988198,1,1.99
1382966922,1,0.99
760795141,1,18.49
522912544,1,24.78
1137136643,1,18.51
1783471870,1,13.90
1023781727,1,12.95
1011604856,1,32.66
1094576361,1,135.00
1744065669,1,215.33
1051294335,1,44.44
197857754,1,289.95
1832461069,2,232.93
325769085,2,36.34
989739126,1,0.99
411413557,1,7.94
100217392,1,30.00
910811386,1,33.00
808378062,1,7.00
19613879,1,5.00
394805398,1,34.09
1360766017,1,1577.98
96107778,1,2.99
16928936,1,0.99
886250747,1,17.99
1485694260,1,81.00
62580836,1,0.99
355286677,1,1.99
30698331,1,6.00
15423640,1,9.00
606487332,3,6.76
1223795551,1,13.88
50538540,1,0.99
42943913,1,163.72
1566500822,1,1.00
37666401,1,2.21
732344871,1,238.59
1066430457,1,10.95
15709035,1,24.99
1706033664,1,27.21
24332438,1,15.98
1114364583,1,15.74
1130544595,1,3.49
973933364,1,5.00
253497733,1,15.00
1591644355,1,16.99
1492276694,1,1.00
701853899,1,5.00
1045645561,2,15925.00
1709719691,2,3.95
1090241758,1,12.74
1478736267,1,33.00
215744505,1,2.21
4766178,1,188.00
1102207571,2,2.00
106584652,1,25.99
1666521336,1,11.00
47718023,1,21.70
363033516,1,1.98
896668105,1,3.50
1202936408,1,306.34
720871094,1,8.05
20413945,1,2.49
113080626,1,1.10
1229863897,1,6.57
92421732,1,149.90
1278412755,1,9.72
988769004,1,15.98
880236239,1,3.00
67084406,1,13.38
96647049,1,0.99
1020109346,1,39.99
140658474,1,169.98
1141289023,1,36.43
1046688763,1,3.19
590364404,1,66.00
1470029426,1,206.05
1391233200,1,17.99
430958398,1,7.95
1019500573,1,27.08
1014089535,1,26.06
1471403665,1,1.98
328322743,1,19.75
1244455700,2,56.02
986273112,1,20.79
1067203240,1,1.08
91744988,1,0.99
694172847,1,4.99
457613641,1,44.50
1532643110,1,4.23
1192541184,1,211.90
1435154931,1,3.00
674224530,1,72.97
1640632524,1,6.49
17091581,1,1.15
1186483562,1,3.99
1284796987,1,6010.41
1150513464,1,266.81
41278036,1,342.54
1112908284,2,101.75
1166447455,1,1.00
224831684,1,81.42
127772600,1,5.97
1219602913,1,26.51
141984644,8,77.91
148259812,1,1.11
1658744004,1,44.98
102547963,1,2.00
1397243426,1,2.82
129776862,1,114.45
2529034,1,1.99
13794436,1,7.95
1190390681,1,13.90
1525177372,2,19.50
1205835185,1,22.00
12132543,1,44.98
1136241200,2,35.00
1366050826,1,7.85
718097444,1,21.99
35524730,1,25.53
4447080,1,2.59
65801646,1,1.00
886400125,1,469.00
1022038792,1,5.80
675908125,1,5.94
736450954,1,10.00
1994761319,1,2.23
1077333851,2,205.58
1329994497,1,7.53
141496102,1,6.75
21997162,2,20.00
74446003,1,1.75
1074314552,1,10.48
1527326027,1,9.61
1355027445,1,13.95
909212008,2,51.47
57772141,1,1.81
36238570,2,9.00
141146960,1,3.18
1052608771,1,5454.44
1792646754,1,1.01
125057757,2,3.96
2007360617,1,100.00
140320393,1,16.79
198981429,1,1.25
1260064569,1,0.99
1931116781,1,14.99
1906905808,1,2.17
1147159713,1,1.98
1385775035,1,1.11
1595407260,1,37.79
1786366924,2,75.77
802666661,1,4.00
815636520,1,327.50
1376262026,1,1.49
901332523,1,36.63
1001050849,1,7.69
1843663795,1,7.00
1496251314,1,0.99
14532284,1,4.99
1108631323,1,5.54
56759856,1,5.01
102412862,1,0.99
36471597,1,5.49
93969121,1,3.59
907657480,1,447.00
1894702881,1,1.83
1813568804,1,17.01
847620,1,167.97
987836429,1,21.10
1521263733,1,54.00
11025400,1,39.73
187798701,1,1022.94
748208711,1,9.95
1196137336,1,999.00
56607485,1,3.26
1348581281,1,10.74
1095514941,1,13.99
1082415100,1,59.74
1005539204,1,18.04
772254,1,10.00
758308309,1,9.99
594947,1,1.00
893066172,1,3.29
